modelo,auc_modelo,variable,caida_AUC_media,caida_AUC_pp,caida_AUC_desv,caida_AUC_IC_inf,caida_AUC_IC_sup,p_valor_empirico,IC_excluye_cero,p_emp_menor_005
LR,0.6435044792085763,gpt_max,0.022891,2.2891,0.033426,-0.020406,0.062295,0.3,False,False
LR,0.6435044792085763,rr_max,0.017214,1.7214,0.019091,-0.012724,0.036821,0.232,False,False
LR,0.6435044792085763,lactato_max,0.011771,1.1771,0.013857,-0.009179,0.028332,0.264,False,False
LR,0.6435044792085763,spo2_min,0.010341,1.0341,0.010516,-0.002088,0.025369,0.216,False,False
LR,0.6435044792085763,ph_min,0.009547,0.9547,0.009694,-0.005859,0.018355,0.256,False,False
LR,0.6435044792085763,map_min,0.007386,0.7386,0.005536,-0.001368,0.013086,0.24,False,False
LR,0.6435044792085763,hr_media,0.006356,0.6356,0.005241,-0.002555,0.011384,0.232,False,False
LR,0.6435044792085763,pf_min,0.005315,0.5315,0.01181,-0.011777,0.019345,0.324,False,False
LR,0.6435044792085763,sofa_max,0.004601,0.4601,0.0058,-0.00457,0.011285,0.292,False,False
LR,0.6435044792085763,tp_max,0.002937,0.2937,0.006416,-0.004206,0.012395,0.396,False,False
LR,0.6435044792085763,diuresis_ml_kg_3h,0.001204,0.1204,0.008283,-0.012751,0.009055,0.372,False,False
LR,0.6435044792085763,fio2_max,0.000444,0.0444,0.001575,-0.001932,0.002473,0.388,False,False
LR,0.6435044792085763,bicarbonato_min,0.000308,0.0308,0.006875,-0.01121,0.006504,0.376,False,False
LR,0.6435044792085763,ventilacion_invasiva_3h,-0.000206,-0.0206,0.00237,-0.003555,0.003028,0.512,False,False
LR,0.6435044792085763,bilirrubina_media,-0.000213,-0.0213,0.001784,-0.002073,0.002582,0.564,False,False
LR,0.6435044792085763,gcs_min,-0.000276,-0.0276,0.001577,-0.00179,0.002383,0.552,False,False
LR,0.6435044792085763,anchor_age,-0.000354,-0.0354,0.000773,-0.001674,0.000376,0.584,False,False
LR,0.6435044792085763,gender,-0.000531,-0.0531,0.000793,-0.001904,0.000144,0.608,False,False
LR,0.6435044792085763,peso_kg,-0.000943,-0.0943,0.000857,-0.001911,0.000309,0.76,False,False
LR,0.6435044792085763,hemoglobina_min,-0.001057,-0.1057,0.00169,-0.003277,0.000423,0.484,False,False
LR,0.6435044792085763,leucocitos_min,-0.00113,-0.113,0.001593,-0.003722,0.000494,0.656,False,False
LR,0.6435044792085763,plaquetas_min,-0.00156,-0.156,0.001905,-0.004558,7.4e-05,0.724,False,False
LR,0.6435044792085763,glucemia_min,-0.001873,-0.1873,0.003625,-0.007165,0.001443,0.56,False,False
LR,0.6435044792085763,contador_estancia_uci,-0.002876,-0.2876,0.004178,-0.009723,0.001565,0.64,False,False
LR,0.6435044792085763,creatinina_max,-0.003483,-0.3483,0.004171,-0.010216,0.00069,0.68,False,False
LR,0.6435044792085763,temp_min,-0.004908,-0.4908,0.006197,-0.015585,0.000564,0.72,False,False
RF,0.6534781433571835,rr_max,0.021653,2.1653,0.010262,0.005489,0.03073,0.112,True,False
RF,0.6534781433571835,map_min,0.018666,1.8666,0.011723,-0.000221,0.030559,0.156,False,False
RF,0.6534781433571835,temp_min,0.008923,0.8923,0.008066,0.002005,0.022576,0.244,True,False
RF,0.6534781433571835,spo2_min,0.00858,0.858,0.016924,-0.019323,0.026384,0.272,False,False
RF,0.6534781433571835,diuresis_ml_kg_3h,0.007116,0.7116,0.012624,-0.013352,0.021881,0.264,False,False
RF,0.6534781433571835,pf_min,0.005639,0.5639,0.009161,-0.000283,0.021706,0.396,False,False
RF,0.6534781433571835,lactato_max,0.005133,0.5133,0.008983,-0.010649,0.010849,0.3,False,False
RF,0.6534781433571835,tp_max,0.004166,0.4166,0.005162,-0.00014,0.012866,0.296,False,False
RF,0.6534781433571835,anchor_age,0.003675,0.3675,0.003344,-0.001008,0.008466,0.3,False,False
RF,0.6534781433571835,ph_min,0.003034,0.3034,0.010344,-0.01253,0.016198,0.368,False,False
RF,0.6534781433571835,hr_media,0.002127,0.2127,0.009056,-0.011214,0.011978,0.44,False,False
RF,0.6534781433571835,gpt_max,0.00206,0.206,0.015086,-0.016257,0.023267,0.444,False,False
RF,0.6534781433571835,sofa_max,0.002019,0.2019,0.002641,-0.00117,0.005472,0.404,False,False
RF,0.6534781433571835,gender,0.000678,0.0678,0.001751,-0.001168,0.003299,0.412,False,False
RF,0.6534781433571835,ventilacion_invasiva_3h,-0.001084,-0.1084,0.002162,-0.004777,0.000741,0.544,False,False
RF,0.6534781433571835,bicarbonato_min,-0.001204,-0.1204,0.009879,-0.017569,0.008891,0.408,False,False
RF,0.6534781433571835,bilirrubina_media,-0.001379,-0.1379,0.00482,-0.009088,0.00372,0.568,False,False
RF,0.6534781433571835,contador_estancia_uci,-0.001729,-0.1729,0.001189,-0.002725,0.000316,0.804,False,False
RF,0.6534781433571835,fio2_max,-0.002297,-0.2297,0.004842,-0.009182,0.002974,0.56,False,False
RF,0.6534781433571835,plaquetas_min,-0.002566,-0.2566,0.006266,-0.007827,0.008196,0.676,False,False
RF,0.6534781433571835,creatinina_max,-0.002941,-0.2941,0.005082,-0.008864,0.004982,0.676,False,False
RF,0.6534781433571835,leucocitos_min,-0.003122,-0.3122,0.006224,-0.011684,0.005929,0.628,False,False
RF,0.6534781433571835,peso_kg,-0.003284,-0.3284,0.002563,-0.007659,-0.000879,0.7,False,False
RF,0.6534781433571835,gcs_min,-0.00445,-0.445,0.006424,-0.011835,0.005204,0.704,False,False
RF,0.6534781433571835,glucemia_min,-0.005819,-0.5819,0.003414,-0.00963,-0.000702,0.776,False,False
RF,0.6534781433571835,hemoglobina_min,-0.005934,-0.5934,0.005022,-0.014241,-0.00072,0.78,False,False
XGB,0.6573414438254034,diuresis_ml_kg_3h,0.016379,1.6379,0.007424,0.003914,0.02407,0.168,True,False
XGB,0.6573414438254034,map_min,0.015752,1.5752,0.008006,0.001678,0.020204,0.144,True,False
XGB,0.6573414438254034,rr_max,0.014425,1.4425,0.011943,-0.004033,0.028452,0.212,False,False
XGB,0.6573414438254034,pf_min,0.011759,1.1759,0.006189,0.004032,0.02,0.212,True,False
XGB,0.6573414438254034,spo2_min,0.011206,1.1206,0.017259,-0.017997,0.026977,0.252,False,False
XGB,0.6573414438254034,temp_min,0.007524,0.7524,0.0068,-0.002781,0.01546,0.228,False,False
XGB,0.6573414438254034,lactato_max,0.006369,0.6369,0.010272,-0.007267,0.018657,0.284,False,False
XGB,0.6573414438254034,ph_min,0.004875,0.4875,0.011675,-0.01488,0.015497,0.284,False,False
XGB,0.6573414438254034,sofa_max,0.004391,0.4391,0.003245,0.001642,0.009973,0.244,True,False
XGB,0.6573414438254034,hr_media,0.003948,0.3948,0.007722,-0.007593,0.012386,0.364,False,False
XGB,0.6573414438254034,tp_max,0.001211,0.1211,0.001326,-0.000545,0.002758,0.384,False,False
XGB,0.6573414438254034,fio2_max,0.000558,0.0558,0.001694,-0.00219,0.002418,0.308,False,False
XGB,0.6573414438254034,bilirrubina_media,0.000393,0.0393,0.000699,-0.000543,0.001206,0.444,False,False
XGB,0.6573414438254034,anchor_age,0.000226,0.0226,0.004633,-0.007085,0.005834,0.408,False,False
XGB,0.6573414438254034,contador_estancia_uci,-3.1e-05,-0.0031,0.001685,-0.002897,0.001605,0.364,False,False
XGB,0.6573414438254034,gender,-0.000134,-0.0134,0.000296,-0.000642,0.000139,0.724,False,False
XGB,0.6573414438254034,bicarbonato_min,-0.000292,-0.0292,0.003563,-0.006424,0.002501,0.476,False,False
XGB,0.6573414438254034,ventilacion_invasiva_3h,-0.000397,-0.0397,0.001332,-0.002563,0.001133,0.648,False,False
XGB,0.6573414438254034,gpt_max,-0.000468,-0.0468,0.013741,-0.022502,0.015485,0.436,False,False
XGB,0.6573414438254034,leucocitos_min,-0.000804,-0.0804,0.004176,-0.007477,0.004264,0.54,False,False
XGB,0.6573414438254034,hemoglobina_min,-0.000921,-0.0921,0.001685,-0.002839,0.001331,0.632,False,False
XGB,0.6573414438254034,plaquetas_min,-0.001352,-0.1352,0.002131,-0.004289,0.001626,0.612,False,False
XGB,0.6573414438254034,gcs_min,-0.001479,-0.1479,0.001736,-0.004494,-0.000193,0.784,False,False
XGB,0.6573414438254034,peso_kg,-0.001655,-0.1655,0.005279,-0.009336,0.004678,0.528,False,False
XGB,0.6573414438254034,creatinina_max,-0.001826,-0.1826,0.002373,-0.004597,0.001967,0.744,False,False
XGB,0.6573414438254034,glucemia_min,-0.003792,-0.3792,0.008761,-0.018537,0.004562,0.516,False,False
LGBM,0.6246042526278541,map_min,0.020047,2.0047,0.010082,0.005947,0.03085,0.12,True,False
LGBM,0.6246042526278541,temp_min,0.015865,1.5865,0.015618,-0.010336,0.029529,0.232,False,False
LGBM,0.6246042526278541,pf_min,0.009765,0.9765,0.004815,0.003778,0.016287,0.236,True,False
LGBM,0.6246042526278541,hr_media,0.009344,0.9344,0.011064,-0.008633,0.022145,0.268,False,False
LGBM,0.6246042526278541,diuresis_ml_kg_3h,0.009259,0.9259,0.006897,-0.000659,0.018959,0.272,False,False
LGBM,0.6246042526278541,spo2_min,0.009176,0.9176,0.012295,-0.011504,0.020387,0.28,False,False
LGBM,0.6246042526278541,rr_max,0.007485,0.7485,0.006017,-0.000133,0.014774,0.288,False,False
LGBM,0.6246042526278541,bilirrubina_media,0.005677,0.5677,0.004708,-0.00066,0.012496,0.288,False,False
LGBM,0.6246042526278541,lactato_max,0.005184,0.5184,0.00941,-0.009603,0.015813,0.352,False,False
LGBM,0.6246042526278541,sofa_max,0.00461,0.461,0.003152,0.001252,0.009579,0.32,True,False
LGBM,0.6246042526278541,ph_min,0.002378,0.2378,0.00504,-0.00248,0.009835,0.392,False,False
LGBM,0.6246042526278541,gpt_max,0.001718,0.1718,0.014223,-0.01191,0.025973,0.532,False,False
LGBM,0.6246042526278541,anchor_age,0.001539,0.1539,0.002009,-0.001567,0.003355,0.416,False,False
LGBM,0.6246042526278541,bicarbonato_min,0.001066,0.1066,0.006345,-0.009574,0.006483,0.424,False,False
LGBM,0.6246042526278541,tp_max,0.000716,0.0716,0.005323,-0.007019,0.007902,0.516,False,False
LGBM,0.6246042526278541,leucocitos_min,0.000353,0.0353,0.005258,-0.007276,0.007445,0.524,False,False
LGBM,0.6246042526278541,ventilacion_invasiva_3h,-0.000602,-0.0602,0.000755,-0.001835,0.000135,0.74,False,False
LGBM,0.6246042526278541,gender,-0.000642,-0.0642,0.00266,-0.005238,0.001534,0.488,False,False
LGBM,0.6246042526278541,contador_estancia_uci,-0.000742,-0.0742,0.00166,-0.003218,0.000856,0.472,False,False
LGBM,0.6246042526278541,plaquetas_min,-0.000896,-0.0896,0.005084,-0.008359,0.00585,0.52,False,False
LGBM,0.6246042526278541,fio2_max,-0.002152,-0.2152,0.005262,-0.010847,0.002697,0.528,False,False
LGBM,0.6246042526278541,creatinina_max,-0.002187,-0.2187,0.004939,-0.009976,0.001821,0.556,False,False
LGBM,0.6246042526278541,gcs_min,-0.002272,-0.2272,0.003404,-0.006194,0.002417,0.64,False,False
LGBM,0.6246042526278541,hemoglobina_min,-0.003961,-0.3961,0.00176,-0.006162,-0.001356,0.7,False,False
LGBM,0.6246042526278541,glucemia_min,-0.005049,-0.5049,0.012087,-0.02239,0.009831,0.552,False,False
LGBM,0.6246042526278541,peso_kg,-0.006228,-0.6228,0.00787,-0.014781,0.005703,0.688,False,False
CAT,0.6541614687400404,map_min,0.01869,1.869,0.008383,0.004296,0.025954,0.132,True,False
CAT,0.6541614687400404,gpt_max,0.018315,1.8315,0.013552,0.001662,0.039557,0.172,True,False
CAT,0.6541614687400404,rr_max,0.013506,1.3506,0.011423,-0.004774,0.025702,0.208,False,False
CAT,0.6541614687400404,ph_min,0.011479,1.1479,0.010081,-0.002947,0.025458,0.216,False,False
CAT,0.6541614687400404,temp_min,0.011444,1.1444,0.011566,-0.003387,0.024264,0.228,False,False
CAT,0.6541614687400404,spo2_min,0.010361,1.0361,0.014102,-0.007281,0.028993,0.3,False,False
CAT,0.6541614687400404,diuresis_ml_kg_3h,0.009437,0.9437,0.017385,-0.012482,0.035461,0.332,False,False
CAT,0.6541614687400404,pf_min,0.009024,0.9024,0.00386,0.003557,0.014593,0.244,True,False
CAT,0.6541614687400404,lactato_max,0.008807,0.8807,0.0095,-0.002815,0.021098,0.256,False,False
CAT,0.6541614687400404,hr_media,0.00815,0.815,0.009681,-0.003652,0.019932,0.308,False,False
CAT,0.6541614687400404,sofa_max,0.007101,0.7101,0.00529,0.000707,0.01343,0.22,True,False
CAT,0.6541614687400404,bilirrubina_media,0.005734,0.5734,0.008697,-0.005759,0.018933,0.312,False,False
CAT,0.6541614687400404,anchor_age,0.004966,0.4966,0.008817,-0.008804,0.015938,0.284,False,False
CAT,0.6541614687400404,tp_max,0.002565,0.2565,0.00196,0.001195,0.005992,0.328,True,False
CAT,0.6541614687400404,gcs_min,0.001755,0.1755,0.005282,-0.004543,0.008481,0.404,False,False
CAT,0.6541614687400404,fio2_max,0.001302,0.1302,0.00115,-0.000135,0.002918,0.392,False,False
CAT,0.6541614687400404,gender,0.001221,0.1221,0.002093,-0.001665,0.003688,0.336,False,False
CAT,0.6541614687400404,creatinina_max,0.000732,0.0732,0.00216,-0.00229,0.00323,0.344,False,False
CAT,0.6541614687400404,ventilacion_invasiva_3h,-0.001033,-0.1033,0.00517,-0.007539,0.004788,0.52,False,False
CAT,0.6541614687400404,bicarbonato_min,-0.001604,-0.1604,0.010811,-0.020424,0.006684,0.42,False,False
CAT,0.6541614687400404,contador_estancia_uci,-0.002558,-0.2558,0.006215,-0.009311,0.007063,0.632,False,False
CAT,0.6541614687400404,leucocitos_min,-0.004119,-0.4119,0.008659,-0.015494,0.00749,0.58,False,False
CAT,0.6541614687400404,plaquetas_min,-0.005486,-0.5486,0.003999,-0.010871,-0.001752,0.756,False,False
CAT,0.6541614687400404,glucemia_min,-0.006577,-0.6577,0.011916,-0.021171,0.008398,0.616,False,False
CAT,0.6541614687400404,hemoglobina_min,-0.007108,-0.7108,0.010838,-0.024941,0.003145,0.648,False,False
CAT,0.6541614687400404,peso_kg,-0.00936,-0.936,0.004384,-0.016588,-0.004585,0.828,False,False
NB,0.6382777655696519,gpt_max,0.019289,1.9289,0.023555,-0.022072,0.035184,0.176,False,False
NB,0.6382777655696519,rr_max,0.013193,1.3193,0.016392,-0.01292,0.030133,0.252,False,False
NB,0.6382777655696519,temp_min,0.010378,1.0378,0.006564,0.001736,0.018978,0.164,True,False
NB,0.6382777655696519,lactato_max,0.010245,1.0245,0.011477,-0.006989,0.024758,0.264,False,False
NB,0.6382777655696519,map_min,0.009915,0.9915,0.002598,0.006276,0.01351,0.108,True,False
NB,0.6382777655696519,ph_min,0.009307,0.9307,0.009238,-0.005421,0.018988,0.232,False,False
NB,0.6382777655696519,spo2_min,0.008184,0.8184,0.004852,0.002803,0.014456,0.224,True,False
NB,0.6382777655696519,hr_media,0.006246,0.6246,0.008502,-0.007492,0.015005,0.296,False,False
NB,0.6382777655696519,tp_max,0.003747,0.3747,0.004795,-0.002691,0.009513,0.316,False,False
NB,0.6382777655696519,fio2_max,0.003472,0.3472,0.002851,-0.000808,0.006926,0.26,False,False
NB,0.6382777655696519,pf_min,0.003074,0.3074,0.010947,-0.013448,0.014413,0.36,False,False
NB,0.6382777655696519,sofa_max,0.002906,0.2906,0.003813,-0.003609,0.006062,0.336,False,False
NB,0.6382777655696519,bicarbonato_min,0.001659,0.1659,0.003777,-0.004308,0.006325,0.356,False,False
NB,0.6382777655696519,anchor_age,0.001392,0.1392,0.001588,-0.001056,0.003079,0.376,False,False
NB,0.6382777655696519,bilirrubina_media,0.001201,0.1201,0.007749,-0.00993,0.011455,0.396,False,False
NB,0.6382777655696519,diuresis_ml_kg_3h,0.000665,0.0665,0.012628,-0.021063,0.012114,0.312,False,False
NB,0.6382777655696519,plaquetas_min,0.000366,0.0366,0.000807,-0.000761,0.001344,0.464,False,False
NB,0.6382777655696519,gender,6.9e-05,0.0069,0.000835,-0.001116,0.001247,0.516,False,False
NB,0.6382777655696519,peso_kg,-0.000421,-0.0421,0.001268,-0.00203,0.00098,0.552,False,False
NB,0.6382777655696519,hemoglobina_min,-0.000925,-0.0925,0.000788,-0.002261,-0.000172,0.708,False,False
NB,0.6382777655696519,creatinina_max,-0.001052,-0.1052,0.004321,-0.006868,0.004888,0.476,False,False
NB,0.6382777655696519,glucemia_min,-0.001425,-0.1425,0.002122,-0.00505,0.000506,0.584,False,False
NB,0.6382777655696519,gcs_min,-0.001613,-0.1613,0.002008,-0.005049,0.000116,0.768,False,False
NB,0.6382777655696519,leucocitos_min,-0.001645,-0.1645,0.001889,-0.004837,0.000217,0.748,False,False
NB,0.6382777655696519,ventilacion_invasiva_3h,-0.003966,-0.3966,0.007572,-0.017287,0.000677,0.524,False,False
NB,0.6382777655696519,contador_estancia_uci,-0.006896,-0.6896,0.009729,-0.023495,0.000593,0.664,False,False
